1	script	undefined
1	warp	undefined
1	warp2	undefined
1	shop	undefined
1	cashshop	undefined
1	OnPCDieEvent	Executed when PC becomes dead.
1	OnPCKillEvent	Executed when PC kills another PC. Some skills may not invoke this.
1	OnNPCKillEvent	undefined
1	OnPCLoginEvent	Executed when PC logs in
1	OnPCLogoutEvent	Executed when PC logs out
1	OnPCLoadMapEvent	Executed when PC loads specified map (only if map 'loadevent' mapflag is specified)
1	OnPCLoadNPCMapEvent	Executed when PC loads NPC map
1	OnPCBaseLvUpEvent	Executed on base level up
1	OnPCJobLvUpEvent	Executed on Job level up
1	OnTouch_	Executed when PC touches NPC area
1	OnTouch	Executed when PC touches NPC area but only if NPC is not busy with another PC
1	OnTouchNPC	When mob comes into OnTouch area
1	OnInit	When script loads/reloads
1	OnInstanceInit	(need IIF_INITINSTANCENPC)
0	getitembound2	v arg1, i arg2, i arg3, i arg4, i arg5, i arg6, i arg7, i arg8, i arg9, i arg10, ? arg11	getitembound2(${1:v_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:i_arg7}, ${8:i_arg8}, ${9:i_arg9}, ${10:i_arg10}, ${11:?_arg11})$0
0	countbound	? arg1, ? arg2	countbound(${1:?_arg1}, ${2:?_arg2})$0
0	party_create	s arg1, ? arg2, ? arg3, ? arg4	party_create(${1:s_arg1}, ${2:?_arg2}, ${3:?_arg3}, ${4:?_arg4})$0
0	party_addmember	i arg1, i arg2	party_addmember(${1:i_arg1}, ${2:i_arg2})$0
0	party_delmember	? arg1, ? arg2	party_delmember(${1:?_arg1}, ${2:?_arg2})$0
0	party_changeleader	i arg1, i arg2	party_changeleader(${1:i_arg1}, ${2:i_arg2})$0
0	party_changeoption	i arg1, i arg2, i arg3	party_changeoption(${1:i_arg1}, ${2:i_arg2}, ${3:i_arg3})$0
0	party_destroy	i arg1	party_destroy(${1:i_arg1})$0
0	clan_join	i arg1, ? arg2	clan_join(${1:i_arg1}, ${2:?_arg2})$0
0	clan_leave	? arg1	clan_leave(${1:?_arg1})$0
0	transform	v arg1, i arg2, ? arg3, ? arg4, ? arg5, ? arg6, ? arg7	transform(${1:v_arg1}, ${2:i_arg2}, ${3:?_arg3}, ${4:?_arg4}, ${5:?_arg5}, ${6:?_arg6}, ${7:?_arg7})$0
0	active_transform	v arg1, i arg2, ? arg3, ? arg4, ? arg5, ? arg6, ? arg7	active_transform(${1:v_arg1}, ${2:i_arg2}, ${3:?_arg3}, ${4:?_arg4}, ${5:?_arg5}, ${6:?_arg6}, ${7:?_arg7})$0
0	vip_status	i arg1, ? arg2	vip_status(${1:i_arg1}, ${2:?_arg2})$0
0	vip_time	i arg1, ? arg2	vip_time(${1:i_arg1}, ${2:?_arg2})$0
0	bonus_script	s arg1, i arg2, ? arg3, ? arg4, ? arg5, ? arg6	bonus_script(${1:s_arg1}, ${2:i_arg2}, ${3:?_arg3}, ${4:?_arg4}, ${5:?_arg5}, ${6:?_arg6})$0
0	bonus_script_clear	? arg1, ? arg2	bonus_script_clear(${1:?_arg1}, ${2:?_arg2})$0
0	getgroupitem	i arg1, ? arg2, ? arg3	getgroupitem(${1:i_arg1}, ${2:?_arg2}, ${3:?_arg3})$0
0	enable_command
0	disable_command
0	getguildmember	i arg1, ? arg2, ? arg3	getguildmember(${1:i_arg1}, ${2:?_arg2}, ${3:?_arg3})$0
0	addspiritball	i arg1, i arg2, ? arg3	addspiritball(${1:i_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	delspiritball	i arg1, ? arg2	delspiritball(${1:i_arg1}, ${2:?_arg2})$0
0	countspiritball	? arg1	countspiritball(${1:?_arg1})$0
0	mergeitem	? arg1	mergeitem(${1:?_arg1})$0
0	mergeitem2	? arg1, ? arg2	mergeitem2(${1:?_arg1}, ${2:?_arg2})$0
0	npcshopupdate	s arg1, i arg2, i arg3, ? arg4	npcshopupdate(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:?_arg4})$0
0	getattachedrid
0	getvar	v arg1, i arg2	getvar(${1:v_arg1}, ${2:i_arg2})$0
0	showscript	s arg1, ? arg2, ? arg3	showscript(${1:s_arg1}, ${2:?_arg2}, ${3:?_arg3})$0
0	ignoretimeout	i arg1, ? arg2	ignoretimeout(${1:i_arg1}, ${2:?_arg2})$0
0	geteleminfo	i arg1, ? arg2	geteleminfo(${1:i_arg1}, ${2:?_arg2})$0
0	opendressroom	i arg1, ? arg2	opendressroom(${1:i_arg1}, ${2:?_arg2})$0
0	navigateto	s arg1, ? arg2, ? arg3, ? arg4, ? arg5, ? arg6, ? arg7, ? arg8	navigateto(${1:s_arg1}, ${2:?_arg2}, ${3:?_arg3}, ${4:?_arg4}, ${5:?_arg5}, ${6:?_arg6}, ${7:?_arg7}, ${8:?_arg8})$0
0	getguildalliance	i arg1, i arg2	getguildalliance(${1:i_arg1}, ${2:i_arg2})$0
0	adopt	v arg1, v arg2	adopt(${1:v_arg1}, ${2:v_arg2})$0
0	getexp2	i arg1, i arg2, ? arg3	getexp2(${1:i_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	recalculatestat
0	hateffect	i arg1, i arg2	hateffect(${1:i_arg1}, ${2:i_arg2})$0
0	getrandomoptinfo	i arg1	getrandomoptinfo(${1:i_arg1})$0
0	getequiprandomoption	i arg1, i arg2, i arg3, ? arg4	getequiprandomoption(${1:i_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:?_arg4})$0
0	setrandomoption	i arg1, i arg2, i arg3, i arg4, i arg5, ? arg6	setrandomoption(${1:i_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:?_arg6})$0
0	needed_status_point	i arg1, i arg2, ? arg3	needed_status_point(${1:i_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	jobcanentermap	s arg1, ? arg2	jobcanentermap(${1:s_arg1}, ${2:?_arg2})$0
0	openstorage2	i arg1, i arg2, ? arg3	openstorage2(${1:i_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	unloadnpc	s arg1	unloadnpc(${1:s_arg1})$0
0	agitstart3
0	agitend3
0	agitcheck3
0	gvgon3	s arg1	gvgon3(${1:s_arg1})$0
0	gvgoff3	s arg1	gvgoff3(${1:s_arg1})$0
0	channel_create	s arg1, s arg2, ? arg3, ? arg4, ? arg5, ? arg6, ? arg7	channel_create(${1:s_arg1}, ${2:s_arg2}, ${3:?_arg3}, ${4:?_arg4}, ${5:?_arg5}, ${6:?_arg6}, ${7:?_arg7})$0
0	channel_setopt	s arg1, i arg2, i arg3	channel_setopt(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3})$0
0	channel_setcolor	s arg1, i arg2	channel_setcolor(${1:s_arg1}, ${2:i_arg2})$0
0	channel_setpass	s arg1, s arg2	channel_setpass(${1:s_arg1}, ${2:s_arg2})$0
0	channel_setgroup	s arg1, i arg2, * arg3	channel_setgroup(${1:s_arg1}, ${2:i_arg2}, ${3:*_arg3})$0
0	channel_setgroup2	s arg1, r arg2	channel_setgroup2(${1:s_arg1}, ${2:r_arg2})$0
0	channel_chat	s arg1, s arg2, ? arg3	channel_chat(${1:s_arg1}, ${2:s_arg2}, ${3:?_arg3})$0
0	channel_ban	s arg1, i arg2	channel_ban(${1:s_arg1}, ${2:i_arg2})$0
0	channel_unban	s arg1, i arg2	channel_unban(${1:s_arg1}, ${2:i_arg2})$0
0	channel_kick	s arg1, v arg2	channel_kick(${1:s_arg1}, ${2:v_arg2})$0
0	channel_delete	s arg1	channel_delete(${1:s_arg1})$0
0	getitem3	v arg1, i arg2, i arg3, i arg4, i arg5, i arg6, i arg7, i arg8, i arg9, r arg10, r arg11, r arg12, ? arg13	getitem3(${1:v_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:i_arg7}, ${8:i_arg8}, ${9:i_arg9}, ${10:r_arg10}, ${11:r_arg11}, ${12:r_arg12}, ${13:?_arg13})$0
0	getitembound3	v arg1, i arg2, i arg3, i arg4, i arg5, i arg6, i arg7, i arg8, i arg9, i arg10, r arg11, r arg12, r arg13, ? arg14	getitembound3(${1:v_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:i_arg7}, ${8:i_arg8}, ${9:i_arg9}, ${10:i_arg10}, ${11:r_arg11}, ${12:r_arg12}, ${13:r_arg13}, ${14:?_arg14})$0
0	rentitem3	v arg1, i arg2, i arg3, i arg4, i arg5, i arg6, i arg7, i arg8, i arg9, r arg10, r arg11, r arg12, ? arg13	rentitem3(${1:v_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:i_arg7}, ${8:i_arg8}, ${9:i_arg9}, ${10:r_arg10}, ${11:r_arg11}, ${12:r_arg12}, ${13:?_arg13})$0
0	makeitem3	v arg1, i arg2, s arg3, i arg4, i arg5, i arg6, i arg7, i arg8, i arg9, i arg10, i arg11, i arg12, r arg13, r arg14, r arg15	makeitem3(${1:v_arg1}, ${2:i_arg2}, ${3:s_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:i_arg7}, ${8:i_arg8}, ${9:i_arg9}, ${10:i_arg10}, ${11:i_arg11}, ${12:i_arg12}, ${13:r_arg13}, ${14:r_arg14}, ${15:r_arg15})$0
0	delitem3	v arg1, i arg2, i arg3, i arg4, i arg5, i arg6, i arg7, i arg8, i arg9, r arg10, r arg11, r arg12, ? arg13	delitem3(${1:v_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:i_arg7}, ${8:i_arg8}, ${9:i_arg9}, ${10:r_arg10}, ${11:r_arg11}, ${12:r_arg12}, ${13:?_arg13})$0
0	countitem3	v arg1, i arg2, i arg3, i arg4, i arg5, i arg6, i arg7, i arg8, r arg9, r arg10, r arg11, ? arg12	countitem3(${1:v_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:i_arg7}, ${8:i_arg8}, ${9:r_arg9}, ${10:r_arg10}, ${11:r_arg11}, ${12:?_arg12})$0
0	achievementinfo	i arg1, i arg2, ? arg3	achievementinfo(${1:i_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	achievementadd	i arg1, ? arg2	achievementadd(${1:i_arg1}, ${2:?_arg2})$0
0	achievementremove	i arg1, ? arg2	achievementremove(${1:i_arg1}, ${2:?_arg2})$0
0	achievementcomplete	i arg1, ? arg2	achievementcomplete(${1:i_arg1}, ${2:?_arg2})$0
0	achievementexists	i arg1, ? arg2	achievementexists(${1:i_arg1}, ${2:?_arg2})$0
0	achievementupdate	i arg1, i arg2, i arg3, ? arg4	achievementupdate(${1:i_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:?_arg4})$0
0	getequiprefinecost	i arg1, i arg2, i arg3, ? arg4	getequiprefinecost(${1:i_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:?_arg4})$0
0	round	i arg1	round(${1:i_arg1})$0
0	ceil	i arg1	ceil(${1:i_arg1})$0
0	floor	i arg1	floor(${1:i_arg1})$0
0	getequiptradability	i arg1, ? arg2	getequiptradability(${1:i_arg1}, ${2:?_arg2})$0
0	mail	i arg1, s arg2, s arg3, s arg4, * arg5	mail(${1:i_arg1}, ${2:s_arg2}, ${3:s_arg3}, ${4:s_arg4}, ${5:*_arg5})$0
0	open_roulette	? arg1	open_roulette(${1:?_arg1})$0
0	identifyall	? arg1, ? arg2	identifyall(${1:?_arg1}, ${2:?_arg2})$0
0	is_guild_leader	? arg1	is_guild_leader(${1:?_arg1})$0
0	is_party_leader	? arg1	is_party_leader(${1:?_arg1})$0
0	camerainfo	i arg1, i arg2, i arg3, ? arg4	camerainfo(${1:i_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:?_arg4})$0
0	achievement_condition	i arg1	achievement_condition(${1:i_arg1})$0
0	getvariableofinstance	r arg1, i arg2	getvariableofinstance(${1:r_arg1}, ${2:i_arg2})$0
0	convertpcinfo	v arg1, i arg2	convertpcinfo(${1:v_arg1}, ${2:i_arg2})$0
